group,run,seed,step,naulc
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,20,0.0321457627118644
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,21,0.0345228813559322
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,22,0.037170338983050846
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,23,0.03990762711864407
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,24,0.04281101694915254
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,25,0.04596779661016949
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,26,0.049647457627118634
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,27,0.05383135593220338
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,28,0.05838898305084745
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,29,0.06402796610169491
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,30,0.07101949152542372
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,31,0.07797203389830507
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,32,0.08405762711864406
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,33,0.0906
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,34,0.09772711864406779
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,35,0.10481101694915253
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,36,0.1119686440677966
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,37,0.11897627118644066
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,38,0.12581694915254235
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,39,0.13273898305084744
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,40,0.14025169491525424
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,41,0.14893389830508474
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,42,0.15872203389830508
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,43,0.16915084745762712
