algorithm,seed,episode,day,dscr,dscr_below_1
Transformer+GAIL+TD3,192,5895,16,399.9079283887468,0
Transformer+GAIL+TD3,192,5895,17,4.242101834762784,0
Transformer+GAIL+TD3,192,5895,18,5.823561550281714,0
Transformer+GAIL+TD3,192,5895,19,28.476588628762542,0
Transformer+GAIL+TD3,192,5895,20,44.17023928215353,0
Transformer+GAIL+TD3,192,5895,21,15.77753048190439,0
Transformer+GAIL+TD3,192,5895,22,9.849936386768446,0
Transformer+GAIL+TD3,192,5895,23,3.9768293759378586,0
Transformer+GAIL+TD3,192,5895,24,8.194374305625695,0
Transformer+GAIL+TD3,192,5895,25,5.151253298153035,0
Transformer+GAIL+TD3,192,5895,26,10.906079925361531,0
Transformer+GAIL+TD3,192,5895,27,14.969718186591981,0
Transformer+GAIL+TD3,192,5895,28,3.465927964694158,0
Transformer+GAIL+TD3,192,5895,29,5.759158681288269,0
Transformer+GAIL+TD3,192,5895,30,6.186382655001902,0
Transformer+GAIL+TD3,192,5895,31,5.071715817694371,0
Transformer+GAIL+TD3,192,5895,32,4.042453781512606,0
Transformer+GAIL+TD3,192,5895,33,95.53733426378228,0
Transformer+GAIL+TD3,192,5895,34,2.316689833828268,0
Transformer+GAIL+TD3,192,5895,35,6.474391696443765,0
Transformer+GAIL+TD3,192,5895,36,6.0451185834957775,0
Transformer+GAIL+TD3,192,5895,37,4.840762924728808,0
Transformer+GAIL+TD3,192,5895,38,5.209147119442536,0
Transformer+GAIL+TD3,192,5895,39,18.209964412811388,0
Transformer+GAIL+TD3,192,5895,40,2.419620600038895,0
Transformer+GAIL+TD3,192,5895,41,8.925333014754196,0
Transformer+GAIL+TD3,192,5895,42,5.54127358490566,0
Transformer+GAIL+TD3,192,5895,43,4.47682824320538,0
Transformer+GAIL+TD3,192,5895,44,2.492207848584824,0
Transformer+GAIL+TD3,192,5895,45,3.0206077258768382,0
Transformer+GAIL+TD3,192,5895,46,4.404541214876996,0
Transformer+GAIL+TD3,192,5895,47,91.64872068230277,0
Transformer+GAIL+TD3,192,5895,48,3.0844672509225095,0
Transformer+GAIL+TD3,192,5895,49,5.849255837239998,0
Transformer+GAIL+TD3,192,5895,50,4.735827981010892,0
Transformer+GAIL+TD3,192,5895,51,3.3298652898016226,0
Transformer+GAIL+TD3,192,5895,52,7.188298082625024,0
Transformer+GAIL+TD3,192,5895,53,225.50913838120104,0
Transformer+GAIL+TD3,192,5895,54,5.238595976990437,0
Transformer+GAIL+TD3,192,5895,55,5.542128683980157,0
Transformer+GAIL+TD3,192,5895,56,2.6326851563651856,0
Transformer+GAIL+TD3,192,5895,57,5.186017681792973,0
Transformer+GAIL+TD3,192,5895,58,7.51763015845377,0
Transformer+GAIL+TD3,192,5895,59,114.8530534351145,0
Transformer+GAIL+TD3,192,5895,60,4.237149235594993,0
Transformer+GAIL+TD3,192,5895,61,7.239819974282039,0
Transformer+GAIL+TD3,192,5895,62,3.3221340449126697,0
Transformer+GAIL+TD3,192,5895,63,5.691095421098104,0
Transformer+GAIL+TD3,192,5895,64,8.29059696073855,0
Transformer+GAIL+TD3,192,5895,65,11.786277372262775,0
Transformer+GAIL+TD3,192,5895,66,9.80252127727651,0
Transformer+GAIL+TD3,192,5895,67,2.562874045538969,0
Transformer+GAIL+TD3,192,5895,68,7.230879278089578,0
Transformer+GAIL+TD3,192,5895,69,4.299563270188323,0
Transformer+GAIL+TD3,192,5895,70,3.8897118713093057,0
Transformer+GAIL+TD3,192,5895,71,2.9292159133113405,0
Transformer+GAIL+TD3,192,5895,72,2.9681944976207406,0
Transformer+GAIL+TD3,192,5895,73,5.914524109828271,0
Transformer+GAIL+TD3,192,5895,74,5.875507857416635,0
